BD,Address,Address2
WEALTH SPACE ASSET MANAGEMENT,"1600 PENNSYLVANIA AVENUE, MCDONOUGH, GA 19020","P O BOX 63245, PHILADELPHIA, PA 19114"
CAPE SECURITIES INC.,"1600 PENNSYLVANIA AVENUE, MCDONOUGH, GA 30253",
"FINANCIAL ADVOCATES SECURITIES, LLC","1601 COOPER POINT RD NW, OLYMPIA, WA 98502",
"THE BAKER GROUP, LP","1601 NW EXPRESSWAY, SUITE 2000, OKLAHOMA CITY, OK 73118-1426",
"CLARENDON INSURANCE AGENCY, INC.","1601 TRAPELO ROAD, SUITE 30, WALTHAM, MA 02451",
"MIDLAND SECURITIES, LTD","1605 LBJ FREEWAY, SUITE 710, DALLAS, TX 75234",
"ARUNDEL (SECURITIES), INC.","1607 SLEEPY HOLLOW CT, WESTLAKE, TX 76262",
"ST. BERNARD FINANCIAL SERVICES, INC.","1609 WEST MAIN ST., RUSSELLVILLE, AR 72801",
"WATSON MANAGEMENT ASSOCIATES, LLC","161 GRAND STREET, #2A, NEW YORK, NY 10013",
"BARRINGTON RESEARCH ASSOCIATES, INC.","161 N. CLARK ST., SUITE 2950, CHICAGO, IL 60601-3221",
MARKS BAUGHAN SECURITIES LLC,"161 WASHINGTON ST., SUITE 1390, CONSHOHOCKEN, PA 19428",
"BRYANT PARK CAPITAL SECURITIES, INC.","161 WASHINGTON ST., SUITE 310, CONSHOHOCKEN, PA 19428",
"DSP SECURITIES, LLC","161 WASHINGTON STREET, SUITE 580, CONSHOHOCKEN, PA 19428",
STOCK TRADERS,"16152 BEACH BLVD., SUITE 271, HUNTINGTON BEACH, CA 92647-3815",
"RHCA SECURITIES, LLC","1616 VOSS, SUITE 420, HOUSTON, TX 77057",
FIRST NATIONAL CAPITAL MARKETS,"1620 DODGE STREET, 7TH FLOOR, MAIL STOP 1070, OMAHA, NE 68197",
"ASTRIS SECURITIES, LLC","1627 EYE STREET, NW, SUITE 1210, WASHINGTON, DC 20006",
"HOVDE GROUP, LLC","1629 COLONIAL PARKWAY, INVERNESS, IL 60067",
SECUREVEST FINANCIAL GROUP,"163 MADISON AVE, SUITE 405, MORRISTOWN, NJ 07960","163 MADISON AVE, SUITE100, MORRISTOWN, NJ 07960"
VIENNA CAPITAL PARTNERS LLC,"163 WEST 75TH STREET, NEW YORK, NY 10023","29 FROST LANE, LAWRENCE, NY 11559"
INDUSTRIAL AND COMMERCIAL BANK OF CHINA FINANCIAL SERVICES LLC,"1633 BROADWAY, 28TH FLOOR, NEW YORK, NY 10019",
MCAP LLC,"1633 BROADWAY, 28TH FLOOR, NEW YORK, NY 10019",
VIRTU AMERICAS LLC,"1633 BROADWAY, 41ST FLOOR, NEW YORK, NY 10019",
PIMCO INVESTMENTS LLC,"1633 BROADWAY, 45TH FLOOR, NEW YORK, NY 10019",
"ENERGY DOMAIN SECURITIES, LLC","1633 ROGERS RD, FORT WORTH, TX 76107",
"WORLD CAPITAL BROKERAGE, INC.","1636 LOGAN STREET, DENVER, CO 80203",
L.J. HART AND COMPANY,"16401 SWINGLEY RIDGE ROAD - SUITE 210, ST. LOUIS, MO 63017",
MCNALLY FINANCIAL SERVICES CORPORATION,"16414 SAN PEDRO, SUITE 930, SAN ANTONIO, TX 78232","P.O. BOX 701928, SAN ANTONIO, TX 78270-1928"
"INSTITUTIONAL CASH DISTRIBUTORS, LLC","16475 BORDEAUX DRIVE, RENO, NV 89511",
"FIRST HORIZON ADVISORS, INC.","165 MADISON AVENUE, 14TH FLOOR, MEMPHIS, TN 38103",
"MYSTIC CAPITAL MARKETS GROUP, LLC","165 MADISON AVENUE, SUITE 402, NEW YORK, NY 10016",
"GPP SECURITIES, LLC","165 MASON STREET, 3RD FLOOR, GREENWICH, CT 06830",
GRANT WILLIAMS L.P.,"1650 MARKET STREET, 53RD FLOOR, PHILADELPHIA, PA 19103",
LOMBARD INTERNATIONAL DISTRIBUTION COMPANY,"1650 MARKET STREET, 8TH FLOOR, PHILADELPHIA, PA 19103",
"ASSETMARK BROKERAGE, LLC","1655 GRANT STREET, 10TH FLOOR, CONCORD, CA 94520",
SEQUOIA EQUITIES SECURITIES CORPORATION,"1655 NORTH MAIN STREET SUITE 270, WALNUT CREEK, CA 94596",
"VALLEY NATIONAL INVESTMENTS, INC.","1655 VALLEY CENTER PARKWAY, SUITE 100, BETHLEHEM, PA 18017",
"MCLEAN SECURITIES, LLC","1660 INTERNATIONAL DRIVE, SUITE 810, MCLEAN, VA 22102",
WORTH FINANCIAL GROUP INC.,"16660 DALLAS PARKWAY, SUITE 2200, DALLAS, TX 75248",
COKER & PALMER,"1667 LELIA DRIVE, JACKSON, MS 39216",
HENRIES SECURITIES,"1667 SAINT MARKS AVENUE, BROOKLYN, NY 11233",
DABBAH SECURITIES CORP.,"167 EAST 63RD STREET, NEW YORK, NY 10065",
KROLL SECURITIES LLC,"167 N. GREEN ST., FLOOR 12, CHICAGO, IL 60607",
"ANNEXUS SECURITIES, LLC","16767 N. PERIMETER DRIVE, SUITE 320, SCOTTSDALE, AZ 85260",
BUCKRAM SECURITIES LTD,"168 FOREST AVENUE, SUITE 202, LOCUST VALLEY, NY 11560",
MOORGATE SECURITIES LLC,"1686 UNION STREET, # 307, SAN FRANCISCO, CA 94123",
"FT GLOBAL CAPITAL, INC.","1688 MERIDIAN AVENUE, SUITE 700, MIAMI BEACH, FL 33139",
"BROOKLIGHT PLACE SECURITIES, INC.","16930 E. PALISADES BLVD, SUITE 100-D, FOUNTAIN HILLS, AZ 85268",
"FIRST FINANCIAL SECURITIES OF AMERICA, INC.","16945 NORTHCHASE DRIVE, STE. 1800, HOUSTON, TX 77060","PO BOX 670329, HOUSTON, TX 77267-0329"
"U.S. BROKERAGE, INC.","17 E KOSSUTH ST, COLUMBUS, OH 43206",
"BANYAN SECURITIES, LLC","17 E SIR FRANCIS DRAKE BLVD, SUITE 201, LARKSPUR, CA 94939",
MANOR PARK SECURITIES LLC,"17 MAYHEW AVENUE, LARCHMONT, NY 10538","17 MAYHEW AVE, LARCHMONT, NY 10538"
"MAYHILL AGENCY, LLC","17 PARK MEADOW LANE, WEST LONG BRANCH, NJ 07764",
CRESTA WESTHALL LLP,"17 SAVILE ROW, LONDON, W1S 3PN UK",
"CBOE FIXED INCOME MARKETS, LLC","17 STATE STREET, 31ST FLOOR, NEW YORK, NY 10004",
"CLEARPOOL EXECUTION SERVICES, LLC","17 STATE STREET, 38TH FLOOR, NEW YORK, NY 10004",
THINKEQUITY LLC,"17 STATE STREET, 41ST FLOOR, NEW YORK, NY 10004","17 STATE STREET, 41ST FLOOR, NEW YORK, NY 10004"
"ALEXANDER CAPITAL, L.P.","17 STATE STREET, 5TH FLOOR, NEW YORK, NY 10004",
"GRIFFIN SECURITIES, INC.","17 STATE STREET, NEW YORK, NY 10004",
CHARDAN CAPITAL MARKETS LLC,"17 STATE STREET, SUITE 2130, NEW YORK, NY 10004",
"DOUGLAS SCOTT SECURITIES, INC.","1700 ALMA DR, SUITE 110A, PLANO, TX 75075",
PARALEL DISTRIBUTORS,"1700 BROADWAY, SUITE 1850, DENVER, CO 80290","1700 BROADWAY, SUITE 1230, DENVER, CO 80290"
"FIRST GEORGETOWN SECURITIES, INC.","1700 DIAGONAL RD., # 200, ALEXANDRIA, VA 22314",
"JACQUES FINANCIAL, LLC","1700 E. GUDE DRIVE, ROCKVILLE, MD 20850",
"WOODMEN FINANCIAL SERVICES, INC.","1700 FARNAM STREET, OMAHA, NE 68102","1700 FARNAM ST., OMAHA, NE 68102"
I5EQUITY,"1700 MONTGOMERY STREET, SUITE 108, SAN FRANCISCO, CA 94111","1700 MONTGOMERY ST, SUITE 108, SAN FRANCISCO, CA 94111"
"AMERICAN FINANCIAL ASSOCIATES, INC.","1700 NORTHAMPTON STREET, SUITE A, EASTON, PA 18042-1659","1700 NORTHAMPTON STREET, SUITE A, EASTON, PA 18042-1659"
"CAPITAL INSTITUTIONAL SERVICES, INC.","1700 PACIFIC AVE., SUITE 1100, DALLAS, TX 75201",
"MATTHEWS SOUTH, LLC","1700 SOUTH EL CAMINO REAL, SUITE 345, SAN MATEO, CA 94402",
"B.B. GRAHAM & COMPANY, INC.","1700 W. KATELLA AVE., ORANGE, CA 92867",
"CONFIDENTIAL MANAGEMENT FINANCIAL SERVICES, INC.","1700 WEST BIG BEAVER, SUITE 320, TROY, MI 48084",
DCMB SECURITIES LLC,"1700 WEST LOOP SOUTH, SUITE 450, HOUSTON, TX 77027",
"WACHTEL & CO., INC.","1701  K  STREET, NW     SUITE 615, WASHINGTON, DC 20006",
MWA FINANCIAL SERVICES INC.,"1701 1ST AVENUE, ROCK ISLAND, IL 61201",
MUTUAL FUNDS ASSOCIATES INC.,"1701 CHILI AVE, ROCHESTER, NY 14624",
"HAMILTON CLARK SUSTAINABLE CAPITAL, INC.","1701 PENNSYLVANIA AVENUE NW, SUITE 200, WASHINGTON, DC 20006",
"BAYBERRY SECURITIES, INC.","1701 RHODE ISLAND AVE. NW, WASHINGTON, DC 20036","9752 AVENEL FARM DRIVE, POTOMAC, MD 20854"
"TCM BD, LLC","1701 VILLAGE CENTER CIRCLE, LAS VEGAS, NV 89134",
EMBED CLEARING LLC,"1703 MAIN STREET, SUITE 200, VANCOUVER, WA 98660",
BRIGHTON SECURITIES CORP.,"1703 MONROE AVENUE, ROCHESTER, NY 14618-1487",
"NEW CENTURY CAPITAL PARTNERS, INC.","1707 GLENDON AVENUE, SUITE 3, LOS ANGELES, CA 90024","1112 MONTANA AVENUE, STE 465, SANTA MONICA, CA 90403"
FREC SECURITIES LLC,"171 2ND STREET, 3RD FLOOR, SAN FRANCISCO, CA 94105",
VENTURE.CO BROKERAGE SERVICES LLC,"171 BATTERY STREET, FIRST FLOOR, BURLINGTON, VT 05401",
COUNTRY CAPITAL MANAGEMENT COMPANY,"1711 GENERAL ELECTRIC ROAD, BLOOMINGTON, IL 61704","P.O. BOX 2222, BLOOMINGTON, IL 61702-2222"
"FIRST BANKERS' BANC SECURITIES, INC","1714 DEER TRACKS TRAIL, SUITE 110, ST. LOUIS, MO 63131",
MUFSON HOWE HUNTER & PARTNERS LLC,"1717 ARCH STREET, 39TH FLOOR, PHILADELPHIA, PA 19103",
JANNEY MONTGOMERY SCOTT LLC,"1717 ARCH STREET, PHILADELPHIA, PA 19103",
"SCHLITT INVESTOR SERVICES, INC.","1717 INDIAN RIVER BLVD-STE 300, VERO BEACH, FL 32960-0867",
EQUIFINANCIAL LLC,"1717 NORTH BAYSHORE DRIVE, SUITE 208, MIAMI, FL 33132",
SP SECURITIES LLC,"1717 ST. JAMES PLACE, SUITE 250, HOUSTON, TX 77056",
"KALORAMA CAPITAL, LLC","1718 22ND ST NW, WASHINGTON, DC 20008",
"ENERECAP PARTNERS, LLC","1718 PEACHTREE STREET, NW, SUITE 900, ATLANTA, GA 30309",
ADM SECURITIES LLC,"1720 HARRISON STREET, 7TH FLOOR, HOLLYWOOD, FL 33020",
LARIMER CAPITAL CORPORATION,"1720 SOUTH BELLAIRE STREET, SUITE 1110, DENVER, CO 80222",
"PLUS VENTURE PARTNERS, LLC","1729 ABBOT KINNEY BLVD, VENICE, CA 90291","578 WASHINGTON BLVD, 1700, MARINA DEL REY, CA 90292"
CRUSH SECURITIES LLC,"17296 HAMPTON BLVD., BOCA RATON, FL 33496",
L. B. FISHER & COMPANY,"17300 DALLAS PARKWAY, SUITE 3050, DALLAS, TX 75248",
"THIRD500, LLC","1740 OAK AVENUE, SUITE C1, EVANSTON, IL 60201",
"BENCHMARK INVESTMENTS, LLC","175 COUNTRY CLUB DR, BLDG 400 SUITE D, STOCKBRIDGE, GA 30281",
BLV SECURITIES,"175 STRAFFORD AVENUE, SUITE ONE - #109, WAYNE, PA 19087",
"BULL MARKET SECURITIES, INC.","175 SW 7TH STREET, SUITE 1616, MIAMI, FL 33130",
ANTARCTICA ADVISORS,"175 SW 7TH STREET, SUITE 1711, MIAMI, FL 33130","175 SW 7TH STREET, SUITE 1711, MIAMI, FL 33130"
"TWG SECURITIES, INC.","175 W. JACKSON BLVD., 8TH FLOOR, CHICAGO, IL 60604","175 W JACKSON BLVD., 8TH FLOOR, CHICAGO, IL 60604"
"G1 EXECUTION SERVICES, LLC","175 W. JACKSON BLVD., SUITE 1700, CHICAGO, IL 60604",
"WOLVERINE EXECUTION SERVICES, LLC","175 W. JACKSON BLVD., SUITE 200, CHICAGO, IL 60604",
ABN AMRO CLEARING USA LLC,"175 WEST JACKSON BLVD, STE 2050, CHICAGO, IL 60604",
STATETRUST INVESTMENTS INC.,"1750 CLINT MOORE ROAD, BOCA RATON, FL 33487",
IAFF-FC INVESTMENTS LLC,"1750 NEW YORK AVENUE NW, SUITE 300, WASHINGTON, DC 20006",
PROOF SERVICES LLC,"176 BROADWAY #15D, NEW YORK, NY 10038",
CAPSTONE PARTNERS,"176 FEDERAL STREET, 3RD FLOOR, BOSTON, MA 02110",
STEWARD SECURITIES GROUP LLC,"17615 PRIMROSE MEADOW LANE, HOUSTON, TX 77095",
"CORONADO INVESTMENTS, LLC","17630 EL VUELO, RANCHO SANTA FE, CA 92067","PO BOX 5005 - PMB 147, RANCHO SANTA FE, CA 92067"
"W G SECURITIES, LLC","1764 LITCHFIELD TURNPIKE, SUITE 250, WOODBRIDGE, CT 06525",
"BEEKMAN SECURITIES, INC.","177 WEST PUTNAM AVENUE, GREENWICH, CT 06831",
"CAMBRIDGE INVESTMENT RESEARCH, INC.","1776 PLEASANT PLAIN RD., FAIRFIELD, IA 52556-8757",
LINK SECURITIES LLC,"17767 N SCOTTSDALE ROAD, SUITE 300, SCOTTSDALE, AZ 85255",
WNC CAPITAL CORPORATION,"17782 SKYPARK CIRCLE, IRVINE, CA 92614-6404",
BLUE SAND SECURITIES LLC,"17830 NEW HAMPSHIRE AVENUE, SUITE 303, ASHTON, MD 20861",
"AETHLON CAPITAL, L.L.C","1786 JAMES AVENUE SOUTH, MINNEAPOLIS, MN 55403",
"ETICO PARTNERS, LLC","1795 ROUTE 9, CLIFTON PARK, NY 12065",
"DMK ADVISOR GROUP, INC.","17961 HUNTING BOW CIRCLE, SUITE 102, LUTZ, FL 33558",
THE GLADOWSKY GROUP,"18 MANOR ROAD, SMITHTOWN, NY 11787",
"P G BOOLE, LLC","18 NORTH MAIN STREET, SUITE 115, SHERBORN, MA 01770","30 PEDERZINI DRIVE, MEDFIELD, MA 02052"
"MARK J. MULLER EQUITIES, INC.","18 PHEASANT DRIVE, RYE, NY 10580",
RELIANCE CAPITAL MANAGEMENT ADVISORS LLC,"18 TERRACE AVE - MIRAMAR, HALF MOON BAY, CA 94019",
EURONEXT MARKET SERVICES LLC,"180 MAIDEN LANE, 15TH FLOOR, NEW YORK, NY 10038",
DSIL INVESTMENT SERVICES LLC,"180 MAIDEN LANE, SUITE 1302, NEW YORK, NY 10038-4925",
"KA ASSOCIATES, INC.","1800 AVENUE OF THE STARS, THIRD FLOOR, LOS ANGELES, CA 90067",
"WESTPARK CAPITAL, INC.","1800 CENTURY PARK EAST, SUITE 220, LOS ANGELES, CA 90067",
"SENTRY EQUITY SERVICES, INC.","1800 NORTH POINT DRIVE, STEVENS POINT, WI 54481",
LIBERTY CAPITAL INVESTMENT CORPORATION,"1800 SW FIRST AVE., SUITE 150, PORTLAND, OR 97201","1800 SW FIRST AVE, SUITE 150, PORTLAND, OR 97201"
"TRANSAMERICA CAPITAL, INC.","1801 CALIFORNIA ST., SUITE 5200, DENVER, CO 80202",
XNERGY FINANCIAL LLC,"1801 CENTURY PARK EAST, 25TH FLOOR, LOS ANGELES, CA 90067",
"COMPAK SECURITIES, INC.","1801 DOVE STREET, NEWPORT BEACH, CA 92660",
"CARLETON MCKENNA ADVISORS, LLC","1801 EAST 9TH ST. SUITE 1425, CLEVELAND, OH 44114-3199",
"RNR SECURITIES, L.L.C.","1802 HEMPSTEAD TPKE, EAST MEADOW, NY 11554-1032",
MERIDIAN CAPITAL LLC,"1809 SEVENTH AVENUE, SUITE 1330, SEATTLE, WA 98101-1393",
TRIDENT PARTNERS LTD.,"181 CROSSWAYS PARK DRIVE, WOODBURY, NY 11797",
VERIT ADVISORS CAPITAL MARKETS LLC,"181 W. MADISON STREET, SUITE 3745, CHICAGO, IL 60602",
"GRIFFIN CAPITAL SECURITIES, LLC","18191 VON KARMAN AVENUE, SUITE 300, IRVINE, CA 92612",
J. WOOD CAPITAL ADVISORS LLC,"1820 CALISTOGA ROAD, SANTA ROSA, CA 95404",
LOMBARD SECURITIES INCORPORATED,"1820 LANCASTER STREET, SECOND FLOOR, BALTIMORE, MD 21231","1820 LANCASTER STREET, BALTIMORE, MD 21231"
"KERSHNER SECURITIES, LLC","1825-B KRAMER LANE, SUITE 200, AUSTIN, TX 78758-4281",
"COBURN GROUP, LLC","1826 W. NEWPORT AVE., CHICAGO, IL 60657",
"CEIBA FINANCIAL, LLC","1831 LEXINGTON DR., FULLERTON, CA 92835",
C. A. BOTZUM & CO.,"18321 HILLCREST AVE, VILLA PARK, CA 92861","18321 HILLCREST AVE, VILLA PARK, CA 92861"
PACIFIC INVESTMENT SECURITIES CORP.,"1837 S PALATINE HILL RD, PORTLAND, OR 97219","PO BOX 946, LAKE OSWEGO, OR 97034"
RIEDL FIRST SECURITIES COMPANY OF KANSAS,"1841 N. ROCK ROAD COURT, SUITE 400, WICHITA, KS 67206-4213",
"E1 ASSET MANAGEMENT, INC.","185 HUDSON ST., SUITE 2500, JERSEY CITY, NJ 07311","185 HUDSON ST. SUITE 2500, SUITE 2500, JERSEY CITY, NJ 07311"
DEALERWEB INC.,"185 HUDSON STREET, HARBORSIDE 5, SUITE 2200, JERSEY CITY, NJ 07311",
"IOA SECURITIES, LLC","1855 W STATE ROAD 434 SUITE 267, LONGWOOD, FL 32750",
"SHOPOFF SECURITIES, INC.","18565 JAMBOREE ROAD, SUITE 200, IRVINE, CA 92612",
TIGERBRIDGE CAPITAL,"187 WOLF ROAD, SUITE 300, ALBANY, NY 12205",
"ELE WEALTH SOLUTIONS, INC.","18700 W. 10 MILE ROAD, STE 100, SOUTHFIELD, MI 48075",
RFS PARTNERS,"1875 LAWRENCE STREET, SUITE 300, DENVER, CO 80202-1805",
COLORADO FINANCIAL SERVICE CORPORATION,"188 INVERNESS DRIVE WEST, SUITE 100, CENTENNIAL, CO 80112",
"ALPHALEDGER MARKETS, INC.","18804 FRONT ST NE, SUITE 202, POULSBO, WA 98370","PO BOX 236, POULSBO, WA 98370"
"FIRST SECURITIES NORTHWEST, INC.","18824 SE MILDRED ST, MILWAUKIE, OR 97267",
PPHB SECURITIES LP,"1885 ST. JAMES PLACE, SUITE 900, HOUSTON, TX 77056",
"GCG SECURITIES, LLC","189 TOWNSEND STREET, STE 200, BIRMINGHAM, MI 48009",
"BOWNE PARK CAPITAL, INC.","189-14 CROCHERON AVE, #305, FLUSHING, NY 11358-2338",
"ADVISORS ASSET MANAGEMENT, INC.","18925 BASE CAMP ROAD, MONUMENT, CO 80132-0000","18925 BASE CAMP ROAD, MONUMENT, CO 80132"
CAPCONNECT+ EMARKETS,"1897 BERME ROAD, KERHONKSON, NY 12446",
"WORLD FIRST FINANCIAL SERVICES, INC.","19 BANGOR STREET, STATEN ISLAND, NY 10314","13419 ORINO STREET, VNICE, FL 34293"
INVESTX MARKETS LLC,"19 FULTON STREET, SUITE 307, NEW YORK, NY 10038","19 FULTON STREET, SUITE 307, NEW YORK, NY 10038"
"GLOBAL PACIFIC SECURITIES US, INC.","19 W. 26TH STREET, 5TH FLOOR, NEW YORK, NY 10010",
DOWLING & PARTNERS SECURITIES LLC,"190 FARMINGTON AVENUE, FARMINGTON, CT 06032",
"GX2 SPREAD MARKETS, LLC","190 S. LASALLE STREET, SUITE 1950, CHICAGO, IL 60603",
ABOUT CORPORATE FINANCE CORPORATION,"1900 AVENUE OF THE STARS, SUITE 2460, LOS ANGELES, CA 90067",
"LAMPOST CAPITAL, L.C.","1900 GLADES ROAD, SUITE 205, BOCA RATON, FL 33431","1900 GLADES RD, SUITE 205, BOCA RATON, FL 33431"
"ABERDEEN FUND DISTRIBUTORS, LLC","1900 MARKET STREET, SUITE 200, PHILADELPHIA, PA 19103",
"OMNI FINANCIAL SECURITIES, INC.","1900 POLARIS PARKWAY, SUITE 450, COLUMBUS, OH 43240",
"STATESMAN CORPORATE FINANCE, LLC","1900 WEST LOOP SOUTH, SUITE 850, HOUSTON, TX 77027",
WILLIAM AND HENRY ASSOCIATES,"1901 AVENUE OF THE STARS, 2ND FLOOR, LOS ANGELES, CA 90067",
"REEF SECURITIES, INC.","1901 N CENTRAL EXPRESSWAY, SUITE 400, RICHARDSON, TX 75080-3558",
"MBS CAPITAL MARKETS, LLC","1902 S. MACDILL AVENUE, TAMPA, FL 33629",
"TWD SECURITIES, LLC","1903 CARDINAL WAY, PETALUMA, CA 94954",
HEITMAN SECURITIES LLC,"191 N. WACKER DRIVE, SUITE 2500, CHICAGO, IL 60606","191 N. WACKER DRIVE, SUITE 2500, CHICAGO, IL 60606"
"MM ASCEND LIFE INVESTOR SERVICES, LLC","191 ROSA PARKS, CINCINNATI, OH 45202","P. O. BOX 5423, CINCINNATI, OH 45201-5423"
"SPEYSIDE ADVISORS, LLC","1910 PACIFIC AVENUE, STE 14183, DALLAS, TX 75201",
SPROTT GLOBAL RESOURCE INVESTMENTS LTD,"1910 PALOMAR POINT WAY, SUITE 200, CARLSBAD, CA 92008",
"QUANTUM CAPITAL, LLC","1911 HILLANDALE ROAD, SUITE 1020, DURHAM, NC 27705",
RCH SECURITIES,"1916 AYRSLEY TOWN BLVD, SUITE 300, CHARLOTTE, NC 28273","1916 AYRSLEY TOWN BLVD, SUITE 200, CHARLOTTE, NC 28273"
GCMI SECURITIES CORP.,"19200 VON KARMAN AVENUE, SUITE 210, IRVINE, CA 92612",
"REVL SECURITIES, LLC","1921 WALNUT STREET, 2ND FLOOR, PHILADELPHIA, PA 19103",
"NBC SECURITIES, INC.","1927 1ST AVENUE NORTH, BIRMINGHAM, AL 35203-0686",
"GARRY PIERCE FINANCIAL SERVICES,LLP","1929 N. WASHINGTON ST., SUITE H, BISMARCK, ND 58501",
"GROWTH VENTURE PARTNERS, LLC","1930 SKI SLOPE CIRCLE, LAS VEGAS, NV 89117",
"AMERICAN ALTERNATIVE CAPITAL, LLC","19500 VICTOR PARKWAY, SUITE 550, LIVONIA, MI 48152",
"CONCORDE INVESTMENT SERVICES, LLC","19500 VICTOR PARKWAY, SUITE 550, LIVONIA, MI 48152",
EPIC CAPITAL SECURITIES,"1951 NW 19TH STREET, SUITE 203, BOCA RATON, FL 33431",
"POLAR INVESTMENT COUNSEL, INC.","19547 210TH AV NE, THIEF RIVER FALLS, MN 56701","19547 210TH AVE NE, THIEF RIVER FALLS, MN 56701"
"BARNABAS CAPITAL, LLC","19600 WEST CATAWBA AVENUE, SUITE C301, CORNELIUS, NC 28031",
"SPRINKLEBROKERAGE, INC.","1968 ROWAN ST., SAN DIEGO, CA 92105",
"HITHERLANE PARTNERS, LLC","19693 BOCA WEST DRIVE, BOCA RATON, FL 33434","P.O. BOX 1627, NEW YORK, NY 10150"
"TRITON PACIFIC CAPITAL, LLC","1979 PORT LOCKSLEIGH PLACE, NEWPORT BEACH, CA 92660",
INTERVEST INTERNATIONAL EQUITIES CORPORATION,"1980 DOMINION WAY - SUITE 202, COLORADO SPRINGS, CO 80918",
WAVELAND CAPITAL PARTNERS LLC,"19800 MACARTHUR BLVD, SUITE 650, IRVINE, CA 92612",
BC FINANCIAL,"19803 1ST AVE S, SUITE 200, SEATTLE, WA 98148",
RESEARCH CAPITAL USA INC.,"199 BAY STREET, SUITE 4500, COMMERCE COURT WEST, TORONTO, M5L 1G2 CANADA",
"BFIN FINANCIAL SERVICES, LLC","199 WATER STREET, 17TH FLOOR, NEW YORK, NY 10038",
"VELOCITY CAPITAL, LLC","199 WATER STREET, 17TH FLOOR, NEW YORK, NY 10038",
PERIGEE SECURITIES LP,"1990 MAIN STREET, PH 11, SARASOTA, FL 34236",
"ADVANCED ADVISOR GROUP, LLC","1995 EAST RUM RIVER DRIVE S., CAMBRIDGE, MN 55008","1995 EAST RUM RIVER DRIVE S., CAMBRIDGE, MN 55008"
JWTT INC.,"19980 JW BROWN RD, BEND, OR 97703",
"COLUMBIA CAPITAL SECURITIES, INC.","1999 AVENUE OF THE STARS, SUITE 1100, LOS ANGELES, CA 90067",
CONSTELLATION,"2 14TH STREET, APT 722, HOBOKEN, NJ 07030",
"INVEX, LLC.","2 ALHAMBRA PLAZA, SUITE PH II, CORAL GABLES, FL 33134",
CITCO SECURITIES INC.,"2 BLOOR ST. E, SUITE 2700, TORONTO, ON, M4W 1A8 CANADA",
SETTER CAPITAL INC.,"2 BLOOR STREET WEST SUITE 1700, TORONTO, ONTARIO, M4W 3E2 CANADA",
"WRIGHT INVESTORS' SERVICE DISTRIBUTORS, INC.","2 CORPORATE DRIVE, SUITE 770, SHELTON, CT 06484",
SECURRENCY DIGITAL TRADING,"2 DEPOT PLAZA, OFFICE 6, BEDFORD HILLS, NY 10507",
CRONUS PARTNERS LLC,"2 ELMWOOD DRIVE, SOUTHPORT, CT 06890","P.O. BOX 103, SOUTHPORT, CT 06890"
"SUMMIT TRAIL SECURITIES, LLC","2 GRAND CENTRAL TOWER, 140 E. 45TH STREET, NEW YORK, NY 10017",
"STAR MOUNTAIN ADVISORS, LLC","2 GRAND CENTRAL TOWER, 140 EAST 45TH STREET, 37TH FLOOR, NEW YORK, NY 10017",
"PENTALPHA CAPITAL, LLC","2 GREENWICH OFFICE PARK, GREENWICH, CT 06831","P.O. BOX 4839, GREENWICH, CT 06831"
"WILLIAM J. MAYER SECURITIES, LLC","2 GREENWICH OFFICE PARK, SUITE 160, GREENWICH, CT 06831",
SAMI BROKERAGE LLC,"2 HIGH RIDGE PARK, 2ND FLOOR, STAMFORD, CT 06905","2 HIGH RIDGE PARK, 2ND FLOOR, STAMFORD, CT 06905"
"CENTER STREET SECURITIES, INC.","2 INTERNATIONAL PLAZA, SUITE 301, NASHVILLE, TN 37217",
"BESTEX RESEARCH SECURITIES, LLC","2 LANDMARK SQUARE, SUITE 214, STAMFORD, CT 06901",
"LEDGEREDGE SECURITIES, INC.","2 LONDON WALL PLACE, LONDON, EC2Y 5AU UNITED KINGDOM",
SANTANDER SECURITIES LLC,"2 MORRISSEY BOULEVARD, MAIL CODE: MA1-MB2-03-17, DORCHESTER, MA 02125",
TRADE BRIDGE CAPITAL LLC,"2 N. MAIN STREET, SUITE 310, SHERIDAN, WY 82801",
"PARTNERSHIP CAPITAL GROWTH, LLC","2 NORTH SANTA CRUZ AVENUE, SUITE 201, LOS GATOS, CA 95030","PO BOX 7, LOS GATOS, CA 95031"
SA STONE WEALTH MANAGEMENT INC.,"2 PERIMETER PARK SOUTH, SUITE 500 WEST, BIRMINGHAM, AL 35243",
KELSON CAPITAL LLC,"2 RAVENGLASS DRIVE, 2ND FLOOR, STAMFORD, CT 06903",
"CADMAN SECURITIES, LLC","2 SANDWEDGE LANE, ISLE OF PALMS, SC 29451",
"CHARLES TOWNE SECURITIES, LLC","2 SANDWEDGE LANE, ISLE OF PALMS, SC 29451",
CONNAUGHT (U.S.) LLC,"2 SOHO PLACE, LONDON, W1D 3BG UNITED KINGDOM",
COOK PINE SECURITIES LLC,"2 SOUND VIEW DRIVE, 2ND FLOOR, GREENWICH, CT 06830",
BANCO DO BRASIL SECURITIES LLC,"2 SOUTH BISCAYNE BLVD, #3150, MIAMI, FL 33131",
"FIRST SOUTHERN, LLC","2 TABONUCO STREET, SUITE 200, GUAYNABO, PR 00968-1772",
"AGILE TRADING TECHNOLOGIES, LLC","2 TOWN PLACE, STE 210, BRYN MAWR, PA 19010",
